"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage","STAAR Spanish - Mathematics|Tests Taken","STAAR Spanish - Mathematics|Average Scale Score","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Count","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Masters|Count","STAAR Spanish - Mathematics|Performance Levels|Masters|Percentage"
"BANQUETE ISD","178913","Spring 2024","3","56","1376","28","50","28","50","11","20","4","7","0","","","","","","","","",""
"BANQUETE ISD","178913","Spring 2024","5","52","1630","10","19","42","81","23","44","8","15","0","","","","","","","","",""
"BANQUETE ISD","178913","Spring 2024","8","49","1814","12","24","37","76","11","22","3","6","","","","","","","","","",""
"BANQUETE ISD","178913","Spring 2023","3","68","1412","29","43","39","57","24","35","7","10","0","","","","","","","","",""
"BANQUETE ISD","178913","Spring 2023","5","62","1614","12","19","50","81","28","45","7","11","0","","","","","","","","",""
"BANQUETE ISD","178913","Spring 2023","8","54","1790","22","41","32","59","13","24","1","2","","","","","","","","","",""
"BARBERS HILL ISD","036902","Spring 2025","3","590","1575","51","9","539","91","444","75","238","40","0","","","","","","","","",""
"BARBERS HILL ISD","036902","Spring 2025","5","652","1757","46","7","606","93","485","74","281","43","3","","","","","","","","",""
"BARBERS HILL ISD","036902","Spring 2025","8","376","1937","29","8","347","92","272","72","109","29","","","","","","","","","",""
"BARBERS HILL ISD","036902","Spring 2024","3","609","1544","66","11","543","89","424","70","194","32","1","","","","","","","","",""
"BARBERS HILL ISD","036902","Spring 2024","5","596","1752","38","6","558","94","460","77","242","41","0","","","","","","","","",""
"BARBERS HILL ISD","036902","Spring 2024","8","400","1904","46","12","354","89","240","60","92","23","","","","","","","","","",""
"BARBERS HILL ISD","036902","Spring 2023","3","597","1539","59","10","538","90","398","67","213","36","0","","","","","","","","",""
"BARBERS HILL ISD","036902","Spring 2023","5","504","1730","23","5","481","95","384","76","183","36","2","","","","","","","","",""
"BARBERS HILL ISD","036902","Spring 2023","8","381","1916","27","7","354","93","259","68","99","26","","","","","","","","","",""
"BARTLETT ISD","014902","Spring 2025","3","36","1444","12","33","24","67","14","39","5","14","0","","","","","","","","",""
"BARTLETT ISD","014902","Spring 2025","5","33","1539","14","42","19","58","7","21","2","6","0","","","","","","","","",""
"BARTLETT ISD","014902","Spring 2025","8","26","1738","18","69","8","31","3","12","0","0","","","","","","","","","",""
"BARTLETT ISD","014902","Spring 2024","3","26","1387","12","46","14","54","6","23","1","4","1","","","","","","","","",""
"BARTLETT ISD","014902","Spring 2024","5","30","1534","10","33","20","67","5","17","0","0","1","","","","","","","","",""
"BARTLETT ISD","014902","Spring 2024","8","27","1742","16","59","11","41","1","4","0","0","","","","","","","","","",""
"BARTLETT ISD","014902","Spring 2023","3","37","1389","16","43","21","57","9","24","3","8","0","","","","","","","","",""
"BARTLETT ISD","014902","Spring 2023","5","25","1525","10","40","15","60","4","16","0","0","0","","","","","","","","",""
"BARTLETT ISD","014902","Spring 2023","8","30","1788","10","33","20","67","6","20","1","3","","","","","","","","","",""
"BASIS TEXAS","015834","Spring 2025","3","737","1562","69","9","668","91","527","72","287","39","0","","","","","","","","",""
"BASIS TEXAS","015834","Spring 2025","5","744","1760","71","10","673","90","531","71","345","46","0","","","","","","","","",""
"BASIS TEXAS","015834","Spring 2025","8","358","2052","10","3","348","97","321","90","201","56","","","","","","","","","",""
"BASIS TEXAS","015834","Spring 2024","3","712","1546","62","9","650","91","467","66","220","31","1","","","","","","","","",""
"BASIS TEXAS","015834","Spring 2024","5","626","1753","45","7","581","93","483","77","267","43","0","","","","","","","","",""
"BASIS TEXAS","015834","Spring 2024","8","276","2077","4","1","272","99","253","92","172","62","","","","","","","","","",""
"BASIS TEXAS","015834","Spring 2023","3","552","1559","49","9","503","91","389","70","230","42","0","","","","","","","","",""
"BASIS TEXAS","015834","Spring 2023","5","480","1738","41","9","439","91","350","73","189","39","0","","","","","","","","",""
"BASIS TEXAS","015834","Spring 2023","8","244","2102","2","1","242","99","225","92","176","72","","","","","","","","","",""
"BASTROP ISD","011901","Spring 2025","3","946","1372","497","53","449","47","222","23","70","7","32","1332","19","59","13","41","3","9","0","0"
"BASTROP ISD","011901","Spring 2025","5","922","1557","419","45","503","55","240","26","72","8","22","1469","16","73","6","27","3","14","0","0"
"BASTROP ISD","011901","Spring 2025","8","917","1787","452","49","465","51","241","26","68","7","","","","","","","","","",""
"BASTROP ISD","011901","Spring 2024","3","895","1368","496","55","399","45","170","19","43","5","34","1294","26","76","8","24","2","6","0","0"
"BASTROP ISD","011901","Spring 2024","5","832","1568","338","41","494","59","236","28","72","9","29","1461","24","83","5","17","1","3","0","0"
"BASTROP ISD","011901","Spring 2024","8","1051","1796","472","45","579","55","264","25","67","6","","","","","","","","","",""
"BASTROP ISD","011901","Spring 2023","3","848","1406","341","40","507","60","246","29","75","9","15","1333","9","60","6","40","1","7","0","0"
"BASTROP ISD","011901","Spring 2023","5","780","1572","308","39","472","61","224","29","78","10","18","1467","16","89","2","11","1","6","0","0"
"BASTROP ISD","011901","Spring 2023","8","946","1808","396","42","550","58","304","32","105","11","","","","","","","","","",""
"BAY CITY ISD","158901","Spring 2025","3","239","1414","93","39","146","61","82","34","28","12","0","","","","","","","","",""
"BAY CITY ISD","158901","Spring 2025","5","269","1586","111","41","158","59","90","33","44","16","0","","","","","","","","",""
"BAY CITY ISD","158901","Spring 2025","8","155","1821","48","31","107","69","61","39","9","6","","","","","","","","","",""
"BAY CITY ISD","158901","Spring 2024","3","234","1390","113","48","121","52","54","23","14","6","0","","","","","","","","",""
"BAY CITY ISD","158901","Spring 2024","5","231","1571","92","40","139","60","70","30","20","9","0","","","","","","","","",""
"BAY CITY ISD","158901","Spring 2024","8","186","1850","38","20","148","80","91","49","19","10","","","","","","","","","",""
"BAY CITY ISD","158901","Spring 2023","3","270","1379","129","48","141","52","51","19","19","7","0","","","","","","","","",""
"BAY CITY ISD","158901","Spring 2023","5","249","1559","90","36","159","64","59","24","17","7","0","","","","","","","","",""
"BAY CITY ISD","158901","Spring 2023","8","159","1857","23","14","136","86","84","53","6","4","","","","","","","","","",""
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2025","3","61","1426","19","31","42","69","20","33","7","11","0","","","","","","","","",""
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2025","5","72","1590","20","28","52","72","28","39","2","3","0","","","","","","","","",""
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2025","8","49","1921","9","18","40","82","31","63","18","37","","","","","","","","","",""
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2024","3","56","1430","14","25","42","75","20","36","1","2","0","","","","","","","","",""
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2024","5","54","1600","14","26","40","74","24","44","3","6","0","","","","","","","","",""
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2024","8","39","1838","9","23","30","77","13","33","5","13","","","","","","","","","",""
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2023","3","57","1455","8","14","49","86","28","49","4","7","0","","","","","","","","",""
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2023","5","60","1570","23","38","37","62","15","25","4","7","0","","","","","","","","",""
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2023","8","41","1903","5","12","36","88","23","56","9","22","","","","","","","","","",""
"BEAUMONT ISD","123910","Spring 2025","3","1158","1381","586","51","572","49","304","26","84","7","24","1392","9","38","15","63","4","17","1","4"
"BEAUMONT ISD","123910","Spring 2025","5","1068","1564","472","44","596","56","285","27","113","11","25","1607","7","28","18","72","8","32","4","16"
"BEAUMONT ISD","123910","Spring 2025","8","1175","1790","610","52","565","48","311","26","108","9","","","","","","","","","",""
"BEAUMONT ISD","123910","Spring 2024","3","1234","1371","668","54","566","46","228","18","59","5","13","1266","11","85","2","15","0","0","0","0"
"BEAUMONT ISD","123910","Spring 2024","5","1162","1568","504","43","658","57","348","30","101","9","23","1567","8","35","15","65","8","35","3","13"
"BEAUMONT ISD","123910","Spring 2024","8","1312","1789","606","46","706","54","310","24","57","4","","","","","","","","","",""
"BEAUMONT ISD","123910","Spring 2023","3","1135","1379","558","49","577","51","246","22","72","6","12","1357","6","50","6","50","1","8","0","0"
"BEAUMONT ISD","123910","Spring 2023","5","1085","1574","418","39","667","61","338","31","107","10","20","1590","7","35","13","65","7","35","3","15"
"BEAUMONT ISD","123910","Spring 2023","8","1235","1790","584","47","651","53","295","24","103","8","","","","","","","","","",""
"BECKVILLE ISD","183901","Spring 2025","3","48","1462","10","21","38","79","22","46","6","13","0","","","","","","","","",""
"BECKVILLE ISD","183901","Spring 2025","5","58","1624","12","21","46","79","18","31","9","16","0","","","","","","","","",""
"BECKVILLE ISD","183901","Spring 2025","8","34","1988","1","3","33","97","28","82","16","47","","","","","","","","","",""
"BECKVILLE ISD","183901","Spring 2024","3","48","1453","15","31","33","69","16","33","7","15","0","","","","","","","","",""
"BECKVILLE ISD","183901","Spring 2024","5","49","1621","13","27","36","73","23","47","8","16","0","","","","","","","","",""
"BECKVILLE ISD","183901","Spring 2024","8","35","1871","5","14","30","86","19","54","4","11","","","","","","","","","",""
"BECKVILLE ISD","183901","Spring 2023","3","50","1381","24","48","26","52","9","18","4","8","0","","","","","","","","",""
"BECKVILLE ISD","183901","Spring 2023","5","56","1670","3","5","53","95","34","61","9","16","0","","","","","","","","",""
"BECKVILLE ISD","183901","Spring 2023","8","38","1893","5","13","33","87","23","61","7","18","","","","","","","","","",""
"BEEVILLE ISD","013901","Spring 2025","3","219","1415","80","37","139","63","72","33","22","10","0","","","","","","","","",""
"BEEVILLE ISD","013901","Spring 2025","5","198","1615","53","27","145","73","72","36","31","16","1","","","","","","","","",""
"BEEVILLE ISD","013901","Spring 2025","8","219","1823","84","38","135","62","79","36","25","11","","","","","","","","","",""
"BEEVILLE ISD","013901","Spring 2024","3","221","1407","82","37","139","63","57","26","17","8","0","","","","","","","","",""
"BEEVILLE ISD","013901","Spring 2024","5","217","1584","62","29","155","71","67","31","12","6","1","","","","","","","","",""
"BEEVILLE ISD","013901","Spring 2024","8","163","1747","100","61","63","39","15","9","1","1","","","","","","","","","",""
"BEEVILLE ISD","013901","Spring 2023","3","203","1444","60","30","143","70","81","40","38","19","0","","","","","","","","",""
"BEEVILLE ISD","013901","Spring 2023","5","172","1618","41","24","131","76","73","42","24","14","1","","","","","","","","",""
"BEEVILLE ISD","013901","Spring 2023","8","210","1794","87","41","123","59","56","27","17","8","","","","","","","","","",""
"BELLEVUE ISD","039904","Spring 2025","3","19","1435","4","21","15","79","6","32","2","11","0","","","","","","","","",""
"BELLEVUE ISD","039904","Spring 2025","5","17","1599","4","24","13","76","7","41","1","6","0","","","","","","","","",""
"BELLEVUE ISD","039904","Spring 2025","8","7","1930","0","0","7","100","3","43","2","29","","","","","","","","","",""
"BELLEVUE ISD","039904","Spring 2024","3","10","1457","2","20","8","80","4","40","2","20","0","","","","","","","","",""
"BELLEVUE ISD","039904","Spring 2024","5","13","1694","0","0","13","100","9","69","3","23","0","","","","","","","","",""
"BELLEVUE ISD","039904","Spring 2024","8","6","1935","0","0","6","100","5","83","2","33","","","","","","","","","",""
"BELLEVUE ISD","039904","Spring 2023","3","14","1408","3","21","11","79","5","36","0","0","0","","","","","","","","",""
"BELLEVUE ISD","039904","Spring 2023","5","12","1606","1","8","11","92","5","42","0","0","0","","","","","","","","",""
"BELLEVUE ISD","039904","Spring 2023","8","16","1875","2","13","14","88","8","50","2","13","","","","","","","","","",""
"BELLS ISD","091901","Spring 2025","3","73","1470","15","21","58","79","35","48","12","16","0","","","","","","","","",""
"BELLS ISD","091901","Spring 2025","5","77","1681","10","13","67","87","43","56","18","23","0","","","","","","","","",""
"BELLS ISD","091901","Spring 2025","8","76","2010","5","7","71","93","63","83","40","53","","","","","","","","","",""
"BELLS ISD","091901","Spring 2024","3","73","1423","26","36","47","64","23","32","5","7","0","","","","","","","","",""
"BELLS ISD","091901","Spring 2024","5","80","1729","7","9","73","91","58","73","31","39","0","","","","","","","","",""
"BELLS ISD","091901","Spring 2024","8","79","1975","3","4","76","96","70","89","35","44","","","","","","","","","",""
"BELLS ISD","091901","Spring 2023","3","71","1480","13","18","58","82","34","48","19","27","0","","","","","","","","",""
"BELLS ISD","091901","Spring 2023","5","61","1706","3","5","58","95","46","75","15","25","0","","","","","","","","",""
"BELLS ISD","091901","Spring 2023","8","69","1927","6","9","63","91","48","70","23","33","","","","","","","","","",""
"BELLVILLE ISD","008901","Spring 2025","3","176","1436","56","32","120","68","65","37","23","13","0","","","","","","","","",""
"BELLVILLE ISD","008901","Spring 2025","5","150","1633","37","25","113","75","67","45","30","20","0","","","","","","","","",""
"BELLVILLE ISD","008901","Spring 2025","8","100","1819","39","39","61","61","33","33","10","10","","","","","","","","","",""
"BELLVILLE ISD","008901","Spring 2024","3","171","1448","51","30","120","70","67","39","28","16","0","","","","","","","","",""
"BELLVILLE ISD","008901","Spring 2024","5","165","1617","43","26","122","74","71","43","22","13","0","","","","","","","","",""
"BELLVILLE ISD","008901","Spring 2024","8","128","1815","47","37","81","63","42","33","9","7","","","","","","","","","",""
"BELLVILLE ISD","008901","Spring 2023","3","135","1468","36","27","99","73","63","47","26","19","0","","","","","","","","",""
"BELLVILLE ISD","008901","Spring 2023","5","167","1636","23","14","144","86","79","47","29","17","0","","","","","","","","",""
"BELLVILLE ISD","008901","Spring 2023","8","136","1847","26","19","110","81","68","50","12","9","","","","","","","","","",""
"BELTON ISD","014903","Spring 2025","3","938","1443","311","33","627","67","362","39","153","16","24","1329","18","75","6","25","1","4","0","0"
"BELTON ISD","014903","Spring 2025","5","1040","1630","275","26","765","74","449","43","212","20","9","1400","8","89","1","11","0","0","0","0"
"BELTON ISD","014903","Spring 2025","8","1138","1854","319","28","819","72","521","46","157","14","","","","","","","","","",""
"BELTON ISD","014903","Spring 2024","3","980","1455","278","28","702","72","409","42","140","14","6","1275","6","100","0","0","0","0","0","0"
"BELTON ISD","014903","Spring 2024","5","981","1641","227","23","754","77","478","49","188","19","10","1493","7","70","3","30","1","10","0","0"
"BELTON ISD","014903","Spring 2024","8","1063","1829","333","31","730","69","375","35","104","10","","","","","","","","","",""
"BELTON ISD","014903","Spring 2023","3","1006","1441","301","30","705","70","397","39","163","16","2","","","","","","","","",""
